Episode ID	Episode Title	Show Title	Show ID	
tt2583682	Zane vs. Zane	Suits	tt1632701	
tt2660120	He's Back	Suits	tt1632701	
tt2671864	Normandy	Suits	tt1632701	
tt2560618	War	Suits	tt1632701	
tt2529130	The Arrangement	Suits	tt1632701	
tt2850832	I Want You to Want Me	Suits	tt1632701	
tt2983982	Unfinished Business	Suits	tt1632701	
tt2983986	Conflict of Interest	Suits	tt1632701	
tt2983988	Shadow of a Doubt	Suits	tt1632701	
tt2983994	The Other Time	Suits	tt1632701	
tt2983996	She's Mine	Suits	tt1632701	
tt3053154	Endgame	Suits	tt1632701	
tt3132574	Bad Faith	Suits	tt1632701	
tt3132584	Stay	Suits	tt1632701	
tt3563802	Buried Secrets	Suits	tt1632701	
tt3570124	Yesterday's Gone	Suits	tt1632701	
tt3591456	Moot Point	Suits	tt1632701	
tt3599424	Heartburn	Suits	tt1632701	
tt3607734	Know When to Fold 'Em	Suits	tt1632701	
tt3639420	No Way Out	Suits	tt1632701	
tt3285896	One-Two-Three Go...	Suits	tt1632701	
tt3783016	Breakfast, Lunch and Dinner	Suits	tt1632701	
tt3800126	Two in the Knees	Suits	tt1632701	
tt3832646	Leveraged	Suits	tt1632701	
tt3839596	Pound of Flesh	Suits	tt1632701	
tt3839598	Litt the Hell Up	Suits	tt1632701	
tt3881112	We're Done	Suits	tt1632701	
tt3895112	Exposure	Suits	tt1632701	
tt3953700	Gone	Suits	tt1632701	
tt3923868	This Is Rome	Suits	tt1632701	
tt4231052	Enough Is Enough	Suits	tt1632701	
tt4383488	Respect	Suits	tt1632701	
tt4410566	Fork in the Road	Suits	tt1632701	
tt3951374	Derailed	Suits	tt1632701	
tt4434386	Intent	Suits	tt1632701	
tt4454772	Not Just a Pretty Face	Suits	tt1632701	
tt4503862	Denial	Suits	tt1632701	
tt4649068	Compensation	Suits	tt1632701	
tt4649074	No Refills	Suits	tt1632701	
tt4800888	No Puedo Hacerlo	Suits	tt1632701	
tt4845228	Toe to Toe	Suits	tt1632701	
tt4779252	Privilege	Suits	tt1632701	
tt4815634	Hitting Home	Suits	tt1632701	
tt4905626	Mea Culpa	Suits	tt1632701	
tt4923722	Uninvited Guests	Suits	tt1632701	
tt4938410	Faith	Suits	tt1632701	
tt5176286	Blowback	Suits	tt1632701	
tt5181364	Live to Fight...	Suits	tt1632701	
tt5181368	God's Green Earth	Suits	tt1632701	
tt5181370	Self Defense	Suits	tt1632701	
tt5181372	Tick Tock	Suits	tt1632701	
tt5181374	25th Hour	Suits	tt1632701	
tt5498940	To Trouble	Suits	tt1632701	
tt5513372	Accounts Payable	Suits	tt1632701	
tt5895102	Back on the Map	Suits	tt1632701	
tt5895096	Turn	Suits	tt1632701	
tt5895106	Trust	Suits	tt1632701	
tt5895108	Spain	Suits	tt1632701	
tt5895110	Shake the Trees	Suits	tt1632701	
tt5895112	Borrowed Time	Suits	tt1632701	
tt5880940	The Hand That Feeds You	Suits	tt1632701	
tt5880946	Episode #6.10	Suits	tt1632701	
tt5880950	Episode #6.11	Suits	tt1632701	
tt5880956	Episode #6.12	Suits	tt1632701	
tt5880960	Episode #6.13	Suits	tt1632701	
tt5895116	Episode #6.14	Suits	tt1632701	
tt5937920	Episode #6.15	Suits	tt1632701	
tt5937924	Episode #6.16	Suits	tt1632701	
tt5934988	Episode #7.1	Suits	tt1632701	
tt5937932	Episode #7.2	Suits	tt1632701	
tt4417020	Pilot	Fear the Walking Dead	tt3743822	
tt4559272	So Close, Yet So Far	Fear the Walking Dead	tt3743822	
tt4559274	The Dog	Fear the Walking Dead	tt3743822	
tt4559276	Not Fade Away	Fear the Walking Dead	tt3743822	
tt4559278	Cobalt	Fear the Walking Dead	tt3743822	
tt4549106	The Good Man	Fear the Walking Dead	tt3743822	
tt4549108	Monster	Fear the Walking Dead	tt3743822	
